ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"110.138.97.59","elite","AS7713","ID","PT. TELKOM INDONESIA","192","N/A","8080","socks4","5100","1","2024-08-20T14:39:06.394Z","89","6751","7621"
"103.250.73.178","elite","AS17819","JP","UPRIGHT","224","Upright Inc.","8444","socks5","3899","2","2024-08-20T14:39:06.395Z","100","7779","7801"
"5.2.77.207","elite","AS60404","NL","The Infrastructure Group B.V.","81","TIG","9050","socks4","2096","2","2024-08-20T14:39:06.306Z","100","7791","7799"
"82.114.65.14","elite","AS29170","AL","Kujtesa Net Sh.p.k.","83","SwissEmbassy","53281","socks5","3807","1","2024-08-20T14:39:06.397Z","100","834","835"
"31.200.242.201","elite","AS60494","ES","Aire Networks Del Mediterraneo SL Unipersonal","41","Unelink Telecom, S.A.","12196","socks4","4914","2","2024-08-20T14:39:06.388Z","100","1059","1059"
"45.138.69.36","elite","AS35251","CA","Zhihua Lu trading as HostHub","140","HostHub","20000","socks4","4791","1","2024-08-20T14:39:06.399Z","99","264","266"
"103.59.203.193","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","137","NET 4 U Services PVT LTD","4145","socks4","4085","1","2024-08-20T14:39:06.401Z","99","7629","7681"
"103.59.203.249","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","137","NET 4 U Services PVT LTD","4145","socks4","3286","2","2024-08-20T14:39:06.392Z","99","7627","7674"
"36.89.135.207","elite","AS7713","ID","PT. Telekomunikasi Indonesia","208","Telekomunikasi Indonesia","5678","socks4","653","2","2024-08-20T14:39:06.300Z","71","5508","7772"
"118.179.87.170","elite","AS23956","BD","Dhakacom Limited","210","AmberIT","5678","socks4","5192","1","2024-08-20T14:39:06.298Z","91","7012","7712"
"45.55.196.194","elite","AS14061","US","DigitalOcean, LLC","97","Digital Ocean","60743","socks4","71","2","2024-08-20T14:39:06.304Z","52","4002","7760"
"45.14.224.32","elite","AS62068","NL","SpectraIP B.V.","12","SpectraIP B.V.","28145","socks4","499","1","2024-08-20T14:39:05.993Z","94","7273","7766"
"124.109.44.126","elite","AS23674","PK","Nayatel (Pvt) Ltd","155","Nayatel","4145","socks4","3302","1","2024-08-20T14:39:05.892Z","100","1020","1022"
"129.226.90.169","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","234","Aceville Pte.ltd","443","socks5","2519","2","2024-08-20T14:39:05.813Z","33","2561","7775"
"89.161.90.155","elite","AS39375","PL","Telekomunikacja Podlasie Sp. z o.o.","93","Telekomunikacja Podlasie sp. z o.o.","5678","socks4","1203","1","2024-08-20T14:39:05.991Z","100","7725","7759"
"45.116.114.37","elite","AS58898","IN","Rainbow communications India Pvt Ltd","188","Rainbow Communications India Pvt Ltd","5678","socks4","72","1","2024-08-20T14:39:05.995Z","73","771","1051"
"45.6.229.227","elite","AS266233","BR","Newmaster Telecom","287","Speed NET Informatica Ltda","4145","socks4","792","1","2024-08-20T14:39:05.812Z","100","7844","7860"
"124.120.142.108","elite","AS17552","TH","TRUEBB","270","N/A","8080","socks4","2299","1","2024-08-20T14:39:05.798Z","74","658","884"
"124.158.144.187","elite","AS17995","ID","PT iForte Global Internet","294","N/A","1080","socks4","1812","1","2024-08-20T14:39:05.808Z","94","968","1032"
"104.238.205.68","elite","AS23470","US","ReliableSite.Net LLC","181","ReliableSite.Net LLC","4003","socks4","74","1","2024-08-20T14:39:05.998Z","81","6337","7785"
"5.78.84.195","elite","AS212317","US","Hetzner Online GmbH","182","Hetzner Online GmbH","8080","socks4","4191","1","2024-08-20T14:38:44.197Z","100","1051","1052"
"190.63.152.118","elite","AS23487","EC","CONECEL","175","CONECEL","5678","socks4","4287","1","2024-08-20T14:38:44.295Z","96","7307","7589"
"218.1.200.244","elite","AS4812","CN","China Telecom (Group)","203","Chinanet SH","57114","socks5","690","1","2024-08-20T14:38:44.290Z","52","3992","7644"
"27.0.234.206","elite","AS149020","SG","WebHorizon Internet Services","299","WebHorizon IT Broadband Limited","1080","socks5","3292","1","2024-08-20T14:38:44.196Z","70","742","1054"
"83.142.161.30","elite","AS8369","RU","Intersvyaz-2 JSC","83","Intersvyaz-2 JSC","80","socks4","4099","1","2024-08-20T14:38:44.292Z","100","7784","7788"
"43.155.81.198","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","256","Tencent Cloud Computing","1081","socks4","4896","1","2024-08-20T14:38:44.203Z","34","2600","7760"
"162.214.162.156","elite","AS46606","US","Unified Layer","148","Unified Layer","37708","socks4","753","4","2024-08-20T14:38:44.200Z","99","555","560"
"114.4.121.90","elite","AS4761","ID","PT. INDOSAT Tbk","180","IOH B2B","4153","socks4","4093","1","2024-08-20T14:38:44.204Z","100","7746","7777"
